CMCSA,6/3/22,1.92E+11,,,,
KMI,6/3/22,45190680576,,,,
INTC,6/3/22,1.80E+11,,,,
MU,6/3/22,78099898368,,,,
GE,6/3/22,84717797376,,,,
BAC,6/3/22,2.92E+11,,,,
AAPL,6/3/22,2.35E+12,,,,
MSFT,6/3/22,2.02E+12,,,,
SIRI,6/3/22,24679473152,,,,
HPQ,6/3/22,41934659584,,,,
CX,6/3/22,6820740608,,,,
CZR,6/3/22,10846919680,,,,
F,6/3/22,53310287872,,,,
AMD,6/3/22,1.85E+11,,,,
SNAP,6/3/22,23710275584,,,,
FB,6/3/22,5.16E+11,,,,
WFC,6/3/22,1.71E+11,,,,
AIG,6/3/22,45384679424,,,,
T,6/3/22,1.50E+11,,,,
C,6/3/22,99678756864,,,,
VALE,6/3/22,87886282752,,,,
MS,6/3/22,1.47E+11,,,,
JPM,6/3/22,3.82E+11,,,,
ORCL,6/3/22,1.92E+11,,,,
NKE,6/3/22,1.98E+11,,,,
PG,6/3/22,3.50E+11,,,,
GSM,6/3/22,1446056320,,,,
BBD,6/3/22,43699847168,,,,
PFE,6/3/22,2.99E+11,,,,
JD,6/3/22,89271074816,,,,
NOK,6/3/22,28393797632,,,,
TWTR,6/3/22,30689509376,,,,
AVGO,6/3/22,2.37E+11,,,,
AMAT,6/3/22,1.00E+11,,,,
UVXY,6/3/22,0,,,,
ZNGA,5/23/22,9302868992,,,,
XOM,6/3/22,4.17E+11,,,,
QCOM,6/3/22,1.58E+11,,,,
VIPS,6/3/22,6219628544,,,,
GLD,6/3/22,44922572800,,,,
CSCO,6/3/22,1.87E+11,,,,
AXP,6/3/22,1.26E+11,,,,
BMY,6/3/22,1.60E+11,,,,
V,6/3/22,4.50E+11,,,,
USO,6/3/22,10655877120,,,,
GRPN,6/3/22,446703584,,,,
GERN,6/3/22,520876864,,,,
KEY,6/3/22,18313730048,,,,
RF,6/3/22,20325373952,,,,
KR,6/3/22,37878083584,,,,
HAL,6/3/22,37837893632,,,,
BABA,6/3/22,2.55E+11,,,,
MRO,6/3/22,22419650560,,,,
GILD,6/3/22,80252829696,,,,
GM,6/3/22,54844407808,,,,
FCX,6/3/22,59928502272,,,,
CRM,6/3/22,1.84E+11,,,,
ATVI,6/3/22,60900712448,,,,
SQ,6/3/22,48239882240,,,,
NUE,6/3/22,34244841472,,,,
SWN,6/3/22,10458541056,,,,
LOW,6/3/22,1.25E+11,,,,
RAD,6/3/22,338887808,,,,
VEON,6/3/22,895932288,,,,
SLB,6/3/22,67096944640,,,,
FLEX,6/3/22,7798237184,,,,
FOXA,6/3/22,18379790336,,,,
ABBV,6/3/22,2.60E+11,,,,
GIS,6/3/22,41185275904,,,,
VZ,6/3/22,2.13E+11,,,,
XRX,6/3/22,2911405568,,,,
CVLT,6/3/22,2860364544,,,,
X,6/3/22,6500237312,,,,
MAT,6/3/22,8794726400,,,,
DVN,6/3/22,50833199104,,,,
IBN,6/3/22,66295140352,,,,
MPC,6/3/22,57139892224,,,,
PM,6/3/22,1.64E+11,,,,
MSCI,6/3/22,37231202304,,,,
RDN,6/3/22,3646122240,,,,
KO,6/3/22,2.73E+11,,,,
SRC,6/3/22,5588555776,,,,
COP,6/3/22,1.53E+11,,,,
CHK,6/3/22,12564705280,,,,
DIS,6/3/22,1.98E+11,,,,
LEN,6/3/22,23221741568,,,,
CVX,6/3/22,3.49E+11,,,,
PYPL,6/3/22,1.00E+11,,,,
AUY,6/3/22,5458701312,,,,
WMT,6/3/22,3.45E+11,,,,
CLF,6/3/22,12058456064,,,,
MRK,6/3/22,2.27E+11,,,,
MDLZ,6/3/22,86370443264,,,,
MGM,6/3/22,14788264960,,,,
GFI,6/3/22,8646366208,,,,
KGC,6/3/22,5911360000,,,,
SCHW,6/3/22,1.33E+11,,,,
NBR,6/3/22,1697251584,,,,
NVDA,6/3/22,4.67E+11,,,,
JNJ,6/3/22,4.64E+11,,,,
WDC,6/3/22,18815133696,,,,
BSX,6/3/22,57054138368,,,,
ON,6/3/22,27347806208,,,,
ITUB,6/3/22,52126814208,,,,
BK,6/3/22,36827512832,,,,
HMY,6/3/22,2200826368,,,,
APA,6/3/22,16336605184,,,,
HOME,2/9/22,2425538048,,,,
NGD,6/3/22,948118976,,,,
KOS,6/3/22,3825679104,,,,
DAL,6/3/22,24706375680,,,,
INFY,6/3/22,81274290176,,,,
CCL,6/3/22,15880059904,,,,
MFGP,6/3/22,1562237184,,,,
PBR,6/3/22,92483379200,,,,
DISCA,4/15/22,12399226880,,,,
LPI,6/3/22,1852166656,,,,
ABT,6/3/22,2.04E+11,,,,
FITB,6/3/22,26702503936,,,,
PTEN,6/3/22,4161669888,,,,
USB,6/3/22,77169336320,,,,
BA,6/3/22,82385305600,,,,
GGB,6/3/22,10725173248,,,,
JBLU,6/3/22,3358660864,,,,
EBAY,6/3/22,26362959872,,,,
HBAN,6/3/22,19558322176,,,,
DB,6/3/22,22739429376,,,,
MRVL,6/3/22,50110103552,,,,
WBA,6/3/22,37263167488,,,,
CDNA,6/3/22,1380555392,,,,
KNX,6/3/22,8019738624,,,,
KBH,6/3/22,2982133760,,,,
DISCK,4/15/22,12419523584,,,,
PGR,6/3/22,69667438592,,,,
MO,6/3/22,97444339712,,,,
MDT,6/3/22,1.27E+11,,,,
RIG,6/3/22,2867245824,,,,
BCS,6/3/22,35199557632,,,,
CDEV,6/3/22,2448089856,,,,
EOG,6/3/22,83452387328,,,,
HPE,6/3/22,19588921344,,,,
TXN,6/3/22,1.59E+11,,,,
OAS,6/3/22,3239159296,,,,
OKE,6/3/22,30043856896,,,,
CVS,6/3/22,1.24E+11,,,,
SVXY,6/3/22,0,,,,
HES,6/3/22,39807426560,,,,
GDDY,6/3/22,11809679360,,,,
BX,6/3/22,1.52E+11,,,,
NLSN,6/3/22,9125411840,,,,
TS,6/3/22,20151750656,,,,
BOX,6/3/22,3966089472,,,,
OXY,6/3/22,65875152896,,,,
CVE,6/3/22,47540023296,,,,
SYF,6/3/22,17772769280,,,,
IAU,6/3/22,34100774912,,,,
MTG,6/3/22,4263205888,,,,
LUV,6/3/22,25995192320,,,,
FTI,6/3/22,3685527552,,,,
AA,6/3/22,11404481536,,,,
ABEV,6/3/22,46310227968,,,,
EQR,6/3/22,29673689088,,,,
ETSY,6/3/22,10294096896,,,,
TAL,6/3/22,2547280128,,,,
UNH,6/3/22,4.56E+11,,,,
GES,6/3/22,1215695360,,,,
AMZN,6/3/22,1.24E+12,,,,
NFLX,6/3/22,88401633280,,,,
ENTG,6/3/22,15175414784,,,,
CSX,6/3/22,69815492608,,,,
WYNN,6/3/22,7564397568,,,,
FOX,6/3/22,18413778944,,,,
CNC,6/3/22,47943184384,,,,
ZION,6/3/22,8557838336,,,,
CLDR,1/31/22,0,,,,
RES,6/3/22,2013226880,,,,
CI,6/3/22,80577822720,,,,
WMB,6/3/22,45687554048,,,,
SYNH,6/3/22,7569009152,,,,
HBI,6/3/22,4112069120,,,,
XL,6/3/22,184744304,,,,
PAYX,6/3/22,45419548672,,,,
